Fan_ID,Age,Gender,Last_Attended,Tickets_Purchased,Spend,Favourite_Player,Engagement_Score,Channel_Preference,Membership_Type,Postcode_District
WSL-0001,56,Female,2026-02-01,0,29.39,Lucy Bronze,0.18,Email,Lapsed,LS2
WSL-0002,18,Male,2026-04-26,2,120.94,Lucy Bronze,0.07,Social,Member,L1
WSL-0003,53,Non-binary,2025-08-15,0,19.16,Beth Mead,0.44,SMS,General Admission,N1
WSL-0004,21,Female,2025-05-02,0,41.27,Erin Cuthbert,0.3,Post,Season Ticket,LS1
WSL-0005,21,Male,2024-11-07,2,235.9,Vivianne Miedema,0.85,Email,Member,EC1
WSL-0006,21,Male,2025-09-30,3,185.06,Chloe Kelly,0.83,App,Member,W1
WSL-0007,60,Male,2024-06-26,0,20.54,Erin Cuthbert,0.73,Social,General Admission,CF1
WSL-0008,30,Female,2024-06-24,2,257.03,Chloe Kelly,0.26,Social,General Admission,M3
WSL-0009,29,Prefer not to say,2024-10-23,2,119.2,Beth Mead,0.87,App,Member,E1
WSL-0010,63,Non-binary,2024-10-29,2,199.42,Lauren Hemp,0.59,SMS,Lapsed,L2
WSL-0011,21,Female,2026-04-08,3,93.26,Millie Bright,0.68,Social,Lapsed,L1
WSL-0012,49,Non-binary,2025-09-11,17,1419.94,Chloe Kelly,0.72,Email,General Admission,LS2
WSL-0013,26,Male,2025-02-16,0,105.1,Lucy Bronze,0.29,Email,General Admission,BS1
WSL-0014,54,Female,2025-11-04,4,191.53,Alessia Russo,0.94,App,Hospitality,M1
WSL-0015,23,Female,2025-05-20,2,92.65,Vivianne Miedema,0.58,Social,Season Ticket,CF1
WSL-0016,65,Prefer not to say,2026-01-18,4,380.66,Lauren Hemp,0.2,Post,Member,EC1
WSL-0017,41,Male,2024-07-08,2,158.83,Vivianne Miedema,0.16,App,Season Ticket,EH1
WSL-0018,51,Male,2025-10-03,18,553.52,Vivianne Miedema,0.64,Email,General Admission,M3
WSL-0019,48,Prefer not to say,2025-09-25,8,565.91,Lauren Hemp,0.17,Social,Hospitality,SW1
WSL-0020,22,Female,2026-02-16,13,587.62,Vivianne Miedema,0.85,Email,Hospitality,B1
WSL-0021,67,Male,2026-02-04,7,259.67,Rachel Daly,0.18,Social,Member,M3
WSL-0022,44,Female,2024-11-09,0,119.91,Lauren Hemp,0.83,SMS,Hospitality,L2
WSL-0023,46,Prefer not to say,2025-10-20,12,1062.59,Rachel Daly,0.05,Social,General Admission,LS2
WSL-0024,60,Female,2024-11-03,3,110.15,Chloe Kelly,0.95,Email,Season Ticket,EH1
WSL-0025,46,Female,2024-12-28,1,77.66,Alessia Russo,0.84,Email,Member,LS1
WSL-0026,23,Non-binary,2024-10-20,1,64.82,Rachel Daly,0.13,SMS,General Admission,E1
WSL-0027,32,Female,2025-04-16,1,103.75,Sam Kerr,0.34,Social,Lapsed,EH1
WSL-0028,22,Female,2026-03-12,17,536.58,Lauren Hemp,0.92,App,General Admission,SE1
WSL-0029,44,Female,2024-11-16,2,244.01,Lucy Bronze,0.66,App,Season Ticket,N2
WSL-0030,32,Male,2026-01-28,3,239.52,Chloe Kelly,0.31,SMS,General Admission,BS1
WSL-0031,47,Female,2025-09-11,1,70.49,Chloe Kelly,0.31,SMS,General Admission,SE1
WSL-0032,63,Male,2025-02-28,3,189.09,Lucy Bronze,0.93,Email,General Admission,EH1
WSL-0033,51,Female,2025-12-26,13,330.5,Chloe Kelly,0.89,SMS,Member,N1
WSL-0034,38,Male,2024-10-30,3,368.42,Beth Mead,0.91,SMS,Hospitality,M1
WSL-0035,27,Non-binary,2025-06-20,13,1125.3,Beth Mead,0.8,Email,Hospitality,M2
WSL-0036,70,Male,2025-01-30,1,138.78,Lauren Hemp,0.38,Email,Member,LS1
WSL-0037,37,Prefer not to say,2025-08-14,2,218.0,Lucy Bronze,0.65,App,Season Ticket,N1
WSL-0038,72,Prefer not to say,2025-09-01,5,418.97,Chloe Kelly,0.09,App,Hospitality,G1
WSL-0039,48,Prefer not to say,2026-01-28,12,1062.72,Sam Kerr,0.09,Post,Lapsed,SW1
WSL-0040,39,Female,2025-03-11,0,110.49,Rachel Daly,0.63,Post,General Admission,LS2
WSL-0041,36,Prefer not to say,2025-04-09,2,139.05,Beth Mead,0.67,Post,Lapsed,EC1
WSL-0042,41,Non-binary,2024-11-11,0,25.22,Erin Cuthbert,0.78,Social,Hospitality,SW1
WSL-0043,48,Non-binary,2025-01-27,1,100.74,Vivianne Miedema,0.67,SMS,General Admission,E1
WSL-0044,67,Female,2025-11-04,4,85.49,Erin Cuthbert,0.49,Social,Lapsed,SW1
WSL-0045,61,Female,2024-06-12,3,188.38,Vivianne Miedema,0.66,Social,Member,SE1
WSL-0046,67,Prefer not to say,2024-06-13,3,78.41,Beth Mead,0.84,Social,Lapsed,CF1
WSL-0047,54,Prefer not to say,2025-07-06,14,966.21,Beth Mead,0.52,Social,Hospitality,W1
WSL-0048,64,Non-binary,2025-09-15,8,667.06,Erin Cuthbert,0.63,Email,General Admission,E1
WSL-0049,33,Prefer not to say,2025-06-17,10,870.88,Beth Mead,0.19,SMS,Season Ticket,LS2
WSL-0050,42,Prefer not to say,2025-06-22,17,868.89,Alessia Russo,0.82,Email,Lapsed,LS1
WSL-0051,46,Prefer not to say,2026-05-20,11,451.43,Lucy Bronze,0.88,Post,Lapsed,E1
WSL-0052,47,Prefer not to say,2025-10-14,8,388.88,Beth Mead,0.36,Social,Member,G1
WSL-0053,50,Prefer not to say,2026-04-29,12,813.09,Beth Mead,0.13,Social,Member,M2
WSL-0054,32,Prefer not to say,2025-05-03,2,98.36,Rachel Daly,0.76,Social,General Admission,M3
WSL-0055,46,Female,2026-05-07,17,391.72,Sam Kerr,0.26,Email,Member,SW1
WSL-0056,69,Male,2026-05-06,4,184.02,Erin Cuthbert,0.16,App,General Admission,SE1
WSL-0057,54,Female,2024-09-12,0,19.65,Rachel Daly,0.34,Post,Hospitality,LS1
WSL-0058,61,Non-binary,2025-11-04,2,221.96,Alessia Russo,0.28,Email,Lapsed,M2
WSL-0059,38,Female,2024-11-27,3,208.99,Millie Bright,0.65,Social,Season Ticket,LS2
WSL-0060,39,Non-binary,2024-08-14,3,264.38,Alessia Russo,0.73,Post,Hospitality,L1
WSL-0061,43,Non-binary,2024-09-27,2,106.96,Erin Cuthbert,0.92,SMS,Hospitality,EH1
WSL-0062,55,Prefer not to say,2024-07-11,3,179.08,Lauren Hemp,0.35,App,General Admission,B1
WSL-0063,33,Male,2024-09-23,2,178.26,Millie Bright,0.23,Social,Lapsed,E1
WSL-0064,60,Prefer not to say,2025-01-24,3,149.66,Lauren Hemp,0.32,App,Lapsed,B2
WSL-0065,46,Prefer not to say,2024-11-06,2,184.15,Rachel Daly,0.36,App,General Admission,E1
WSL-0066,23,Male,2025-11-10,10,283.53,Lauren Hemp,0.76,SMS,Hospitality,W1
WSL-0067,62,Non-binary,2024-09-30,2,286.68,Beth Mead,0.33,App,Season Ticket,CF1
WSL-0068,24,Male,2025-08-19,1,159.27,Erin Cuthbert,0.7,Email,Season Ticket,EH1
